,city,city_cloud,city_hum,city_lat,city_temp,city_wind
0,warrington,75,87,53.39,56.14,10.29
1,severo-kurilsk,12,100,50.68,44.68,3.94
2,tripoli,75,45,37.51,68.0,12.75
3,yarensk,88,100,62.17,37.66,6.96
4,albany,75,52,42.65,65.43,4.7
5,jamestown,24,90,-33.21,40.18,4.38
6,bambous virieux,75,73,-20.34,73.4,12.75
7,souillac,0,60,45.6,70.61,4.7
8,hasaki,20,100,35.73,53.49,1.12
9,acapulco,20,74,16.86,86.0,8.05
10,touros,24,83,-5.2,78.97,17.47
11,luba,92,95,17.32,72.67,2.59
12,hualmay,8,60,-11.1,70.87,5.95
13,bam,0,31,29.11,62.41,7.63
14,coelho neto,0,34,-4.25,91.57,3.6
15,tilichiki,36,87,60.47,34.6,7.85
16,kankon,20,100,15.02,81.85,4.05
17,saint-georges,8,60,46.12,57.1,1.92
18,tabora,0,43,-5.02,74.74,12.33
19,tikrit,0,22,34.62,72.67,2.71
20,rikitea,24,100,-23.12,72.31,17.02
21,sabha,0,58,27.03,69.07,7.74
22,salalah,0,88,17.01,77.0,3.36
23,hobart,75,57,-42.88,51.8,6.93
24,kirakira,92,100,-10.46,77.8,25.52
25,sidney,75,60,47.72,48.2,13.87
26,candabong,24,96,9.97,80.68,11.77
27,saint-leu,0,60,-21.15,69.89,6.93
28,shenzhen,40,88,22.54,79.41,4.7
29,muncar,0,95,-8.43,74.11,4.38
30,dondo,0,88,-19.62,77.0,14.45
31,busselton,0,100,-33.64,50.89,20.6
32,kindu,32,89,-2.95,73.48,3.38
33,puerto ayora,40,58,-0.74,82.4,18.34
34,linxia,0,82,35.6,26.41,2.71
35,thompson,90,92,55.74,30.2,12.75
36,vila franca do campo,20,88,37.72,75.2,4.7
37,roshchino,75,87,55.31,48.2,6.71
38,mathbaria,0,96,22.29,79.78,2.82
39,niteroi,75,73,-29.95,75.2,9.17
40,vanavara,0,90,60.35,32.26,2.59
41,santa barbara,1,39,34.42,71.65,4.7
42,ostrovnoy,88,99,68.05,40.18,10.2
43,lebu,12,69,8.96,51.43,6.62
44,manado,20,83,1.49,75.2,4.7
45,coquimbo,90,82,-29.95,57.2,9.17
46,san quintin,92,95,17.54,72.67,2.59
47,klaksvik,76,70,62.23,46.4,12.75
48,saint anthony,1,5,43.97,64.63,9.17
49,mogadishu,92,100,2.04,77.98,10.2
50,malinyi,0,56,-8.94,77.8,7.18
51,ancud,92,98,-41.87,50.44,9.64
52,lompoc,1,39,34.64,66.56,4.7
53,poum,0,64,41.28,32.98,1.59
54,mananjary,12,80,-19.16,54.85,3.83
55,grindavik,40,80,63.84,41.95,10.29
56,uige,12,78,-7.61,69.79,3.94
57,mahebourg,75,73,-20.41,73.4,12.75
58,arraial do cabo,20,66,-22.97,84.2,11.41
59,upernavik,0,100,72.79,33.79,16.24
60,bereznik,88,100,62.86,43.24,5.61
61,ukiah,1,2,39.15,84.92,2.48
62,jaguarari,0,33,-10.26,83.74,9.75
63,codrington,12,90,-28.95,54.58,2.71
64,magadan,90,93,59.56,44.6,2.24
65,pano aqil,44,88,27.86,70.42,2.82
66,guane,80,67,22.2,86.71,6.4
67,along,100,95,28.17,67.9,1.36
68,coolum beach,76,100,-26.53,66.1,1.36
69,katsuura,36,95,33.93,65.38,6.73
70,thinadhoo,76,100,0.53,82.57,27.42
71,port lincoln,32,98,-34.72,53.95,11.99
72,tasiilaq,75,74,65.61,35.6,13.87
73,gbadolite,76,95,4.28,74.56,2.37
74,oliveira dos brejinhos,0,27,-12.32,84.28,7.18
75,mangrol,0,77,25.33,69.88,2.71
76,haimen,0,100,31.87,63.31,3.71
77,portland,20,52,45.52,71.13,4.7
78,rundu,56,40,-17.91,75.37,2.71
79,sisimiut,92,84,66.94,33.16,3.15
80,perth,20,71,56.4,50.0,5.82
81,chuncheng,76,96,22.17,71.23,2.82
82,pisco,0,30,-13.71,71.6,12.75
83,saint-augustin,0,64,44.83,66.81,4.7
84,gevrai,56,91,19.27,69.79,3.6
85,kidal,0,27,18.44,79.15,3.71
86,awbari,32,54,26.59,72.76,10.09
87,georgetown,12,74,6.8,84.46,9.31
88,nemuro,92,100,43.32,54.76,18.48
89,billings,90,79,45.79,50.0,12.75
90,barkhan,12,85,29.9,56.11,1.36
91,sorong,44,100,-0.86,80.23,8.41
92,fortuna,40,69,38.18,75.2,12.75
93,cidreira,88,99,-30.17,66.37,9.19
94,saskatoon,75,48,52.13,42.8,17.22
95,mar del plata,64,67,-46.43,49.81,13.78
96,chuy,64,83,-33.69,61.87,16.46
97,iqaluit,75,99,63.75,32.0,28.86
98,kita,20,93,35.76,57.06,4.7
99,la cruz,92,85,23.92,82.48,3.38
100,harper,1,48,30.3,76.15,6.93
101,cherskiy,56,79,68.75,40.81,7.4
102,joshimath,0,93,30.57,28.93,0.25
103,feijo,40,33,-3.63,89.6,9.17
104,hithadhoo,76,100,-0.6,79.87,23.96
105,atikokan,80,80,48.76,49.27,9.53
106,ploemeur,0,100,47.73,59.0,3.36
107,ambilobe,0,58,-13.19,71.32,14.67
108,zhigansk,56,92,66.77,35.23,7.74
109,alice springs,0,12,-23.7,50.0,4.7
110,tombouctou,0,38,16.77,84.91,3.94
111,port alfred,0,88,-33.59,66.37,12.44
112,mamallapuram,40,79,12.63,84.2,5.82
113,butaritari,8,100,3.07,84.1,8.63
114,gao,0,45,16.28,84.64,2.82
115,dali,92,100,25.6,59.35,1.14
116,terrace,75,87,54.52,57.2,3.36
117,bugiri,44,87,0.57,65.74,4.72
118,granada,20,62,11.93,89.01,11.41
119,jabinyanah,40,52,35.03,69.8,9.17
120,sao filipe,0,97,14.9,79.51,12.44
121,bella vista,20,78,-28.51,77.17,8.41
122,hermanus,56,80,-34.42,59.53,9.86
123,mount pleasant,75,68,33.16,68.34,3.36
124,vila velha,20,66,-3.71,84.2,12.75
125,mineros,75,34,-17.12,95.0,16.11
126,necochea,92,73,-38.55,53.95,12.44
127,paris,0,63,48.86,62.85,4.7
128,yellowknife,90,63,62.45,30.2,13.87
129,labuhan,0,88,-2.54,69.97,2.37
130,kaseda,8,100,31.42,75.55,19.93
131,biak,88,97,-0.91,76.0,4.5
132,port augusta,24,93,-32.49,42.8,5.82
133,manzanillo,0,94,20.34,88.15,8.86
134,usinsk,36,88,66.0,38.2,11.77
135,koslan,92,97,63.46,38.11,6.4
136,new bedford,1,68,41.64,68.94,19.46
137,loukhi,92,100,66.08,40.18,13.44
138,henties bay,0,100,-22.12,54.85,6.62
139,naze,92,97,5.43,73.75,6.06
140,san marcos,40,66,14.97,86.0,6.93
141,ihosy,0,83,-22.4,62.68,4.83
142,margate,75,57,-43.03,51.8,6.93
143,kalianget,0,84,-7.35,52.69,2.37
144,eston,20,48,51.15,44.6,18.34
145,sulangan,64,99,11.14,83.92,17.81
146,wuhu,32,89,31.35,66.37,5.61
147,torbay,75,82,47.66,62.6,21.92
148,borskoye,92,86,53.03,43.78,18.37
149,martvili,75,88,42.41,62.6,2.24
